600000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	NoName	0.99636	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00364	0.00000
2	NoName	0.99850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00150	0.00000
3	NoName	0.98285	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01713	0.00000
4	NoName	0.99689	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00311	0.00000
5	NoName	0.99224	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00776	0.00000
6	NoName	0.99607	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00393	0.00000
7	NoName	0.99861	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00139	0.00000
8	NoName	0.99950	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050	0.00000
9	NoName	0.99953	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00047	0.00000
10	NoName	0.99872	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00128	0.00000
11	NoName	0.95410	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.04580	0.00000
12	NoName	0.99943	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00057	0.00000
13	NoName	0.99715	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00285	0.00000
14	NoName	0.95704	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.04294	0.00000
15	NoName	0.99555	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00444	0.00000
16	NoName	0.99970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000
17	NoName	0.99983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017	0.00000
18	NoName	0.99850	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00150	0.00000
19	NoName	0.99973	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027	0.00000
20	NoName	0.99678	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00322	0.00000
21	NoName	0.99979	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021	0.00000
22	NoName	0.99521	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00478	0.00000
23	NoName	0.99156	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00844	0.00000
24	NoName	0.99758	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00242	0.00000
25	NoName	0.99759	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00241	0.00000
26	NoName	0.99414	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00586	0.00000
27	NoName	0.98637	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01360	0.00000
28	NoName	0.99895	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00105	0.00000
29	NoName	0.93871	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000	0.06116	0.00000
30	NoName	0.96723	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.03276	0.00000
31	NoName	0.00000	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001
32	NoName	0.00000	0.99985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015
33	NoName	0.00000	0.99939	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061
34	NoName	0.00000	0.99963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00037
35	NoName	0.00000	0.99611	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00386
36	NoName	0.00000	0.99971	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029
37	NoName	0.00000	0.99448	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.00546
38	NoName	0.99703	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00297	0.00000
39	NoName	0.99899	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00101	0.00000
40	NoName	0.99945	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00055	0.00000
