ind_ID	Pure_0	Pure_1	F1	F2	P0_F1	P1_F1	P0_P0F1	P1_P1F1	P0_P0P0F1	P1_P1P1F1
QUE001354_bic	0.00000	0.99868	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.00128
QUE001355_bic	0.00000	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007
QUE001356_bic	0.00000	0.99268	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029	0.00000	0.00703
QUE001357_bic	0.00000	0.99965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00035
QUE001360_bic	0.00000	0.99980	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020
QUE001366_bic	0.00000	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002
QUE001368_bic	0.00000	0.99991	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009
QUE001375_bic	0.00000	0.99967	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00033
QUE001386_bic	0.00000	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007
QUE001527_bic	0.00000	0.99993	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00007
QUE001528_bic	0.00000	0.99965	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00035
QUE001529_bic	0.00000	0.99978	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00022
QUE001534_bic	0.00000	0.99986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014
QUE001538_bic	0.00000	0.99961	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00039
QUE001539_bic	0.00000	0.99991	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009
QUE001543_bic	0.00000	0.99998	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002
QUE001545_bic	0.00000	0.99946	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00053
QUE001550_bic	0.00000	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006
QUE001552_bic	0.00000	0.99992	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00008
QUE001553_bic	0.00000	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005
QUE001555_bic	0.00000	0.99814	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004	0.00000	0.00182
QUE001388_bic	0.00000	0.99987	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013
QUE001819_mue	0.99854	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.00143	0.00000
QUE001840_mue	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000
QUE001893_mue	0.99937	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00062	0.00000
QUE002098_mue	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000
QUE002189_mue	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000
QUE002196_bic	0.00000	0.99980	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020
QUE002247_mue	0.99989	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011	0.00000
QUE002285_mue	0.99995	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00005	0.00000
QUE002303_mue	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000
QUE002481_mue	0.98927	0.00000	0.00000	0.00000	0.00000	0.00000	0.00046	0.00000	0.01027	0.00000
QUE002528_bic	0.00000	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032
QUE001930_mue	0.99951	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00048	0.00000
QUE001938_mue	0.99990	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000
QUE002226_mue	0.99994	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000
QUE002267_mue	0.99986	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00014	0.00000
QUE002290_mue	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000
QUE002310_mue	0.99997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000
QUE002484_mue	0.99988	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012	0.00000
QUE002488_mue	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
QUE002529_bic	0.00000	0.99996	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00004
QUE002531_bic	0.00000	0.99988	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00012
QUE002556_bic	0.00000	0.99989	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00011
QUE001649_mue	0.99968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00032	0.00000
QUE001665_mue	0.95220	0.00000	0.00000	0.00000	0.00000	0.00000	0.00525	0.00000	0.04255	0.00000
